,Experiment name:,Amarillo_10
Duration:,5 Seconds
Rate:,100 per second
Sensors:,Colorimeter (ID 1  Exp 1)
Range:,Blue Abs
Units:,abs
Time
'3.88578058619e-16,0.21
'0.01,0.21
'0.02,0.21
'0.03,0.21
'0.04,0.21
'0.05,0.21
'0.06,0.21
'0.07,0.21
'0.08,0.21
'0.09,0.21
'0.1,0.21
'0.11,0.21
'0.12,0.21
'0.13,0.21
'0.14,0.21
'0.15,0.21
'0.16,0.21
'0.17,0.21
'0.18,0.21
'0.19,0.21
'0.2,0.21
'0.21,0.21
'0.22,0.21
'0.23,0.21
'0.24,0.21
'0.25,0.21
'0.26,0.21
'0.27,0.21
'0.28,0.21
'0.29,0.21
'0.3,0.21
'0.31,0.21
'0.32,0.21
'0.33,0.21
'0.34,0.21
'0.35,0.21
'0.36,0.21
'0.37,0.21
'0.38,0.21
'0.39,0.21
'0.4,0.21
'0.41,0.21
'0.42,0.21
'0.43,0.21
'0.44,0.21
'0.45,0.21
'0.46,0.21
'0.47,0.21
'0.48,0.21
'0.49,0.21
'0.5,0.21
'0.51,0.21
'0.52,0.21
'0.53,0.21
'0.54,0.21
'0.55,0.21
'0.56,0.21
'0.57,0.21
'0.58,0.21
'0.59,0.21
'0.6,0.21
'0.61,0.21
'0.62,0.21
'0.63,0.21
'0.64,0.21
'0.65,0.21
'0.66,0.21
'0.67,0.21
'0.68,0.21
'0.69,0.21
'0.7,0.21
'0.71,0.21
'0.72,0.21
'0.73,0.21
'0.74,0.21
'0.75,0.21
'0.76,0.21
'0.77,0.21
'0.78,0.21
'0.79,0.21
'0.8,0.21
'0.81,0.21
'0.82,0.21
'0.83,0.21
'0.84,0.21
'0.85,0.21
'0.86,0.21
'0.87,0.21
'0.88,0.21
'0.89,0.21
'0.9,0.21
'0.91,0.21
'0.92,0.21
'0.93,0.21
'0.94,0.21
'0.95,0.21
'0.96,0.21
'0.97,0.21
'0.98,0.21
'0.99,0.21
'1.0,0.21
'1.01,0.21
'1.02,0.21
'1.03,0.21
'1.04,0.21
'1.05,0.21
'1.06,0.21
'1.07,0.21
'1.08,0.21
'1.09,0.21
'1.1,0.21
'1.11,0.21
'1.12,0.21
'1.13,0.21
'1.14,0.21
'1.15,0.21
'1.16,0.21
'1.17,0.21
'1.18,0.21
'1.19,0.21
'1.2,0.21
'1.21,0.21
'1.22,0.21
'1.23,0.21
'1.24,0.21
'1.25,0.21
'1.26,0.21
'1.27,0.21
'1.28,0.21
'1.29,0.21
'1.3,0.21
'1.31,0.21
'1.32,0.21
'1.33,0.21
'1.34,0.21
'1.35,0.21
'1.36,0.21
'1.37,0.21
'1.38,0.21
'1.39,0.21
'1.4,0.21
'1.41,0.21
'1.42,0.21
'1.43,0.21
'1.44,0.21
'1.45,0.21
'1.46,0.21
'1.47,0.21
'1.48,0.21
'1.49,0.21
'1.5,0.21
'1.51,0.21
'1.52,0.21
'1.53,0.21
'1.54,0.21
'1.55,0.21
'1.56,0.21
'1.57,0.21
'1.58,0.21
'1.59,0.21
'1.6,0.21
'1.61,0.21
'1.62,0.21
'1.63,0.21
'1.64,0.21
'1.65,0.21
'1.66,0.21
'1.67,0.21
'1.68,0.21
'1.69,0.21
'1.7,0.21
'1.71,0.21
'1.72,0.21
'1.73,0.21
'1.74,0.21
'1.75,0.21
'1.76,0.21
'1.77,0.21
'1.78,0.21
'1.79,0.21
'1.8,0.21
'1.81,0.21
'1.82,0.21
'1.83,0.21
'1.84,0.21
'1.85,0.21
'1.86,0.21
