,Experiment name:,Azul_25
Duration:,5 Seconds
Rate:,100 per second
Sensors:,Colorimeter (ID 1  Exp 1)
Range:,Blue Abs
Units:,abs
Time
'3.88578058619e-16,1.24
'0.01,1.24
'0.02,1.24
'0.03,1.24
'0.04,1.24
'0.05,1.24
'0.06,1.24
'0.07,1.24
'0.08,1.24
'0.09,1.24
'0.1,1.24
'0.11,1.24
'0.12,1.24
'0.13,1.24
'0.14,1.24
'0.15,1.24
'0.16,1.24
'0.17,1.24
'0.18,1.24
'0.19,1.24
'0.2,1.24
'0.21,1.24
'0.22,1.24
'0.23,1.24
'0.24,1.24
'0.25,1.24
'0.26,1.24
'0.27,1.24
'0.28,1.24
'0.29,1.24
'0.3,1.24
'0.31,1.24
'0.32,1.24
'0.33,1.24
'0.34,1.24
'0.35,1.24
'0.36,1.24
'0.37,1.24
'0.38,1.24
'0.39,1.24
'0.4,1.24
'0.41,1.24
'0.42,1.24
'0.43,1.24
'0.44,1.24
'0.45,1.24
'0.46,1.24
'0.47,1.24
'0.48,1.24
'0.49,1.24
'0.5,1.24
'0.51,1.24
'0.52,1.24
'0.53,1.24
'0.54,1.24
'0.55,1.24
'0.56,1.24
'0.57,1.24
'0.58,1.24
'0.59,1.24
'0.6,1.24
'0.61,1.24
'0.62,1.24
'0.63,1.24
'0.64,1.24
'0.65,1.24
'0.66,1.24
'0.67,1.24
'0.68,1.24
'0.69,1.24
'0.7,1.24
'0.71,1.24
'0.72,1.24
'0.73,1.24
'0.74,1.24
'0.75,1.24
'0.76,1.24
'0.77,1.24
'0.78,1.24
'0.79,1.24
'0.8,1.24
'0.81,1.24
'0.82,1.24
'0.83,1.24
'0.84,1.24
'0.85,1.24
'0.86,1.24
'0.87,1.24
'0.88,1.24
'0.89,1.24
'0.9,1.24
'0.91,1.24
'0.92,1.24
'0.93,1.24
'0.94,1.24
'0.95,1.24
'0.96,1.24
'0.97,1.24
'0.98,1.24
'0.99,1.24
'1.0,1.24
'1.01,1.24
'1.02,1.24
'1.03,1.24
'1.04,1.24
'1.05,1.24
'1.06,1.24
'1.07,1.24
'1.08,1.24
'1.09,1.24
'1.1,1.24
'1.11,1.24
'1.12,1.24
'1.13,1.24
'1.14,1.24
'1.15,1.24
'1.16,1.24
'1.17,1.24
'1.18,1.24
'1.19,1.24
'1.2,1.24
'1.21,1.24
'1.22,1.24
'1.23,1.24
'1.24,1.24
'1.25,1.24
'1.26,1.24
'1.27,1.24
'1.28,1.24
'1.29,1.24
'1.3,1.24
'1.31,1.24
'1.32,1.24
'1.33,1.24
'1.34,1.24
'1.35,1.24
'1.36,1.24
'1.37,1.24
'1.38,1.24
'1.39,1.24
'1.4,1.24
'1.41,1.24
'1.42,1.24
'1.43,1.24
'1.44,1.24
'1.45,1.24
'1.46,1.24
'1.47,1.24
'1.48,1.24
'1.49,1.24
'1.5,1.24
'1.51,1.24
'1.52,1.24
'1.53,1.24
'1.54,1.24
'1.55,1.24
'1.56,1.24
'1.57,1.24
'1.58,1.24
'1.59,1.24
'1.6,1.24
'1.61,1.24
'1.62,1.24
'1.63,1.24
'1.64,1.24
'1.65,1.24
'1.66,1.24
'1.67,1.24
'1.68,1.24
'1.69,1.24
'1.7,1.24
'1.71,1.24
'1.72,1.24
'1.73,1.24
'1.74,1.24
'1.75,1.24
'1.76,1.24
'1.77,1.24
'1.78,1.24
'1.79,1.24
'1.8,1.24
'1.81,1.24
'1.82,1.24
'1.83,1.24
'1.84,1.24
'1.85,1.24
'1.86,1.24
