,Experiment name:,Azul_25
Duration:,5 Seconds
'1.87,1.24
'1.88,1.24
'1.89,1.24
'1.9,1.24
'1.91,1.24
'1.92,1.24
'1.93,1.24
'1.94,1.24
'1.95,1.24
'1.96,1.24
'1.97,1.24
'1.98,1.24
'1.99,1.24
'2.0,1.24
'2.01,1.24
'2.02,1.24
'2.03,1.24
'2.04,1.24
'2.05,1.24
'2.06,1.24
'2.07,1.24
'2.08,1.24
'2.09,1.24
'2.1,1.24
'2.11,1.24
'2.12,1.24
'2.13,1.24
'2.14,1.24
'2.15,1.24
'2.16,1.24
'2.17,1.24
'2.18,1.24
'2.19,1.24
'2.2,1.24
'2.21,1.24
'2.22,1.24
'2.23,1.24
'2.24,1.24
'2.25,1.24
'2.26,1.24
'2.27,1.24
'2.28,1.24
'2.29,1.24
'2.3,1.24
'2.31,1.24
'2.32,1.24
'2.33,1.24
'2.34,1.24
'2.35,1.24
'2.36,1.24
'2.37,1.24
'2.38,1.24
'2.39,1.24
'2.4,1.24
'2.41,1.24
'2.42,1.24
'2.43,1.24
'2.44,1.24
'2.45,1.24
'2.46,1.24
'2.47,1.24
'2.48,1.24
'2.49,1.24
'2.5,1.24
'2.51,1.24
'2.52,1.24
'2.53,1.24
'2.54,1.24
'2.55,1.24
'2.56,1.24
'2.57,1.24
'2.58,1.24
'2.59,1.24
'2.6,1.24
'2.61,1.24
'2.62,1.24
'2.63,1.24
'2.64,1.24
'2.65,1.24
'2.66,1.24
'2.67,1.24
'2.68,1.24
'2.69,1.24
'2.7,1.24
'2.71,1.24
'2.72,1.24
'2.73,1.24
'2.74,1.24
'2.75,1.24
'2.76,1.24
'2.77,1.24
'2.78,1.24
'2.79,1.24
'2.8,1.24
'2.81,1.24
'2.82,1.24
'2.83,1.24
'2.84,1.24
'2.85,1.24
'2.86,1.24
'2.87,1.24
'2.88,1.24
'2.89,1.24
'2.9,1.24
'2.91,1.24
'2.92,1.24
'2.93,1.24
'2.94,1.24
'2.95,1.24
'2.96,1.24
'2.97,1.24
'2.98,1.24
'2.99,1.24
'3.0,1.24
'3.01,1.24
'3.02,1.24
'3.03,1.24
'3.04,1.24
'3.05,1.24
'3.06,1.24
'3.07,1.24
'3.08,1.24
'3.09,1.24
'3.1,1.24
'3.11,1.24
'3.12,1.24
'3.13,1.24
'3.14,1.24
'3.15,1.24
'3.16,1.24
'3.17,1.24
'3.18,1.24
'3.19,1.24
'3.2,1.24
'3.21,1.24
'3.22,1.24
'3.23,1.24
'3.24,1.24
'3.25,1.24
'3.26,1.24
'3.27,1.24
'3.28,1.24
'3.29,1.24
'3.3,1.24
'3.31,1.24
'3.32,1.24
'3.33,1.24
'3.34,1.24
'3.35,1.24
'3.36,1.24
'3.37,1.24
'3.38,1.24
'3.39,1.24
'3.4,1.24
'3.41,1.24
'3.42,1.24
'3.43,1.24
'3.44,1.24
'3.45,1.24
'3.46,1.24
'3.47,1.24
'3.48,1.24
'3.49,1.24
'3.5,1.24
'3.51,1.24
'3.52,1.24
'3.53,1.24
'3.54,1.24
'3.55,1.24
'3.56,1.24
'3.57,1.24
'3.58,1.24
'3.59,1.24
'3.6,1.24
'3.61,1.24
'3.62,1.24
'3.63,1.24
'3.64,1.24
'3.65,1.24
'3.66,1.24
'3.67,1.24
'3.68,1.24
'3.69,1.24
'3.7,1.24
'3.71,1.24
'3.72,1.24
'3.73,1.24
'3.74,1.24
'3.75,1.24
'3.76,1.24
'3.77,1.24
'3.78,1.24
'3.79,1.24
'3.8,1.24
'3.81,1.24
'3.82,1.24
'3.83,1.24
'3.84,1.24
'3.85,1.24
'3.86,1.24
'3.87,1.24
'3.88,1.24
'3.89,1.24
'3.9,1.24
'3.91,1.24
'3.92,1.24
'3.93,1.24
'3.94,1.24
'3.95,1.24
'3.96,1.24
'3.97,1.24
'3.98,1.24
'3.99,1.24
'4.0,1.24
'4.01,1.24
'4.02,1.24
'4.03,1.24
'4.04,1.24
'4.05,1.24
'4.06,1.24
'4.07,1.24
'4.08,1.24
'4.09,1.24
'4.1,1.24
'4.11,1.24
'4.12,1.24
'4.13,1.24
'4.14,1.24
'4.15,1.24
'4.16,1.24
'4.17,1.24
'4.18,1.24
'4.19,1.24
'4.2,1.24
'4.21,1.24
'4.22,1.24
'4.23,1.24
'4.24,1.24
'4.25,1.24
'4.26,1.24
'4.27,1.24
'4.28,1.24
'4.29,1.24
'4.3,1.24
'4.31,1.24
'4.32,1.24
'4.33,1.24
'4.34,1.24
'4.35,1.24
'4.36,1.24
'4.37,1.24
'4.38,1.24
'4.39,1.24
'4.4,1.24
'4.41,1.24
'4.42,1.24
'4.43,1.24
'4.44,1.24
'4.45,1.24
'4.46,1.24
'4.47,1.24
'4.48,1.24
'4.49,1.24
'4.5,1.24
'4.51,1.24
'4.52,1.24
'4.53,1.24
'4.54,1.24
'4.55,1.24
'4.56,1.24
'4.57,1.24
'4.58,1.24
'4.59,1.24
'4.6,1.24
'4.61,1.24
'4.62,1.24
'4.63,1.24
'4.64,1.24
'4.65,1.24
'4.66,1.24
'4.67,1.24
'4.68,1.24
'4.69,1.24
'4.7,1.24
'4.71,1.24
'4.72,1.24
'4.73,1.24
'4.74,1.24
'4.75,1.24
'4.76,1.24
'4.77,1.24
'4.78,1.24
'4.79,1.24
'4.8,1.24
'4.81,1.24
'4.82,1.24
'4.83,1.24
'4.84,1.24
'4.85,1.24
'4.86,1.24
'4.87,1.24
'4.88,1.24
'4.89,1.24
'4.9,1.24
'4.91,1.24
'4.92,1.24
'4.93,1.24
'4.94,1.24
'4.95,1.24
'4.96,1.24
'4.97,1.24
'4.98,1.24
'4.99,1.24
'5.0,1.24

sys info:[91~54~52~93~44~91~34~50~54~126~49~126~49~126~54~126~35~49~55~51~48~97~57~126~76~101~102~116~126~52~126~48~126~89~101~115~34~93~44~91~34~82~97~116~101~34~93~44~91~54~93~44~91~34~82~101~115~101~114~118~101~34~93~44~91~34~78~111~110~101~34~93~44~91~34~84~111~116~97~108~95~115~97~109~112~108~101~115~34~93~44~91~53~48~49~93~44~91~34~69~120~112~32~73~68~34~93~44~91~34~50~48~50~54~45~48~51~45~48~54~32~49~56~58~49~49~58~53~51~46~52~55~54~48~48~48~34~93]

Attention! Any change in the file may prevent reading its data.
