,Experiment name:,Azul_100
Duration:,5 Seconds
Rate:,100 per second
Sensors:,Colorimeter (ID 1  Exp 1)
Range:,Blue Abs
Units:,abs
Time
'3.88578058619e-16,0.20
'0.01,0.20
'0.02,0.20
'0.03,0.20
'0.04,0.20
'0.05,0.20
'0.06,0.20
'0.07,0.20
'0.08,0.20
'0.09,0.20
'0.1,0.20
'0.11,0.20
'0.12,0.20
'0.13,0.20
'0.14,0.20
'0.15,0.20
'0.16,0.20
'0.17,0.20
'0.18,0.20
'0.19,0.20
'0.2,0.20
'0.21,0.20
'0.22,0.20
'0.23,0.20
'0.24,0.20
'0.25,0.20
'0.26,0.20
'0.27,0.20
'0.28,0.20
'0.29,0.20
'0.3,0.20
'0.31,0.20
'0.32,0.20
'0.33,0.20
'0.34,0.20
'0.35,0.20
'0.36,0.20
'0.37,0.20
'0.38,0.20
'0.39,0.20
'0.4,0.20
'0.41,0.20
'0.42,0.20
'0.43,0.20
'0.44,0.20
'0.45,0.20
'0.46,0.20
'0.47,0.20
'0.48,0.20
'0.49,0.20
'0.5,0.20
'0.51,0.20
'0.52,0.20
'0.53,0.20
'0.54,0.20
'0.55,0.20
'0.56,0.20
'0.57,0.20
'0.58,0.20
'0.59,0.20
'0.6,0.20
'0.61,0.20
'0.62,0.20
'0.63,0.20
'0.64,0.20
'0.65,0.20
'0.66,0.20
'0.67,0.20
'0.68,0.20
'0.69,0.20
'0.7,0.20
'0.71,0.20
'0.72,0.20
'0.73,0.20
'0.74,0.20
'0.75,0.20
'0.76,0.20
'0.77,0.20
'0.78,0.20
'0.79,0.20
'0.8,0.20
'0.81,0.20
'0.82,0.20
'0.83,0.20
'0.84,0.20
'0.85,0.20
'0.86,0.20
'0.87,0.20
'0.88,0.20
'0.89,0.20
'0.9,0.20
'0.91,0.20
'0.92,0.20
'0.93,0.20
'0.94,0.20
'0.95,0.20
'0.96,0.20
'0.97,0.20
'0.98,0.20
'0.99,0.20
'1.0,0.20
'1.01,0.20
'1.02,0.20
'1.03,0.20
'1.04,0.20
'1.05,0.20
'1.06,0.20
'1.07,0.20
'1.08,0.20
'1.09,0.20
'1.1,0.20
'1.11,0.20
'1.12,0.20
'1.13,0.20
'1.14,0.20
'1.15,0.20
'1.16,0.20
'1.17,0.20
'1.18,0.20
'1.19,0.20
'1.2,0.20
'1.21,0.20
'1.22,0.20
'1.23,0.20
'1.24,0.20
'1.25,0.20
'1.26,0.20
'1.27,0.20
'1.28,0.20
'1.29,0.20
'1.3,0.20
'1.31,0.20
'1.32,0.20
'1.33,0.20
'1.34,0.20
'1.35,0.20
'1.36,0.20
'1.37,0.20
'1.38,0.20
'1.39,0.20
'1.4,0.20
'1.41,0.20
'1.42,0.20
'1.43,0.20
'1.44,0.20
'1.45,0.20
'1.46,0.20
'1.47,0.20
'1.48,0.20
'1.49,0.20
'1.5,0.20
'1.51,0.20
'1.52,0.20
'1.53,0.20
'1.54,0.20
'1.55,0.20
'1.56,0.20
'1.57,0.20
'1.58,0.20
'1.59,0.20
'1.6,0.20
'1.61,0.20
'1.62,0.20
'1.63,0.20
'1.64,0.20
'1.65,0.20
'1.66,0.20
'1.67,0.20
'1.68,0.20
'1.69,0.20
'1.7,0.20
'1.71,0.20
'1.72,0.20
'1.73,0.20
'1.74,0.20
'1.75,0.20
'1.76,0.20
'1.77,0.20
'1.78,0.20
'1.79,0.20
'1.8,0.20
'1.81,0.20
'1.82,0.20
'1.83,0.20
'1.84,0.20
'1.85,0.20
'1.86,0.20
