Longitud de onda (nm),Absorbancia Solución Nº 2,Transmitancia Solución Nº 2,,Sinnombre.sp,,,Solución Nº 2,
174.415,0.236,58.132,,2026-03-04 19:16:24,,Longitud de onda del análisis,,
174.805,0.131,74.033,,Analizar solución,,Tiempo de integración,10 ms,
175.195,0.067,85.654,,Absorbancia/transmitancia,,Cantidad de exploraciones a promediar,1,
175.586,0.000,100.000,,,,Suavizar,0,
175.976,0.000,100.000
176.367,0.000,100.000
176.758,0.000,100.000
177.148,0.000,100.000
177.539,0.000,100.000
177.930,0.000,100.000
178.321,0.121,75.750
178.712,0.121,75.750
179.102,0.109,77.731
179.493,0.236,58.132
179.884,0.197,63.553
180.276,0.173,67.167
180.667,0.000,100.000
181.058,0.065,86.050
181.449,0.000,100.000
181.840,0.000,100.000
182.232,0.000,100.000
182.623,0.000,100.000
183.014,0.000,100.000
183.406,0.000,100.000
183.797,0.000,100.000
184.189,0.000,100.000
184.581,0.000,100.000
184.972,0.121,75.750
185.364,0.275,53.029
185.756,0.232,58.583
186.147,0.184,65.450
186.539,0.301,50.000
186.931,0.202,62.875
187.323,0.026,94.143
187.715,0.194,64.045
188.107,0.000,100.000
188.499,0.040,91.200
188.891,0.000,100.000
189.284,0.000,100.000
189.676,0.000,100.000
190.068,0.000,100.000
190.460,0.000,100.000
190.853,0.000,100.000
191.245,0.000,100.000
191.638,0.142,72.071
192.030,0.142,72.071
192.423,0.332,46.567
192.816,0.228,59.088
193.208,0.189,64.714
193.601,0.109,77.731
193.994,0.121,75.750
194.387,0.000,100.000
194.779,0.000,100.000
195.172,0.000,100.000
195.565,0.000,100.000
195.958,0.000,100.000
196.351,0.036,92.136
196.744,0.019,95.778
197.138,0.034,92.543
197.531,0.107,78.091
197.924,0.163,68.727
198.317,0.184,65.450
198.711,0.121,75.750
199.104,0.173,67.167
199.498,0.430,37.125
199.891,0.024,94.633
200.285,0.000,100.000
200.678,0.000,100.000
201.072,0.000,100.000
201.465,0.000,100.000
201.859,0.000,100.000
202.253,0.000,100.000
202.647,0.000,100.000
203.041,0.015,96.595
203.435,0.078,83.587
203.829,0.109,77.731
204.223,0.126,74.796
204.617,0.173,67.167
205.011,0.285,51.907
205.405,0.163,68.727
205.799,0.109,77.731
206.193,0.147,71.206
206.588,0.074,84.333
206.982,0.000,100.000
207.376,0.000,100.000
207.771,0.000,100.000
208.165,0.000,100.000
208.560,0.000,100.000
208.955,0.000,100.000
209.349,0.000,100.000
209.744,0.000,100.000
210.139,0.183,65.674
210.533,0.146,71.458
210.928,0.116,76.638
211.323,0.288,51.561
211.718,0.288,51.561
212.113,0.127,74.630
212.508,0.121,75.750
212.903,0.146,71.458
213.298,0.052,88.625
213.693,0.000,100.000
214.088,0.000,100.000
214.484,0.016,96.350
214.879,0.146,71.458
215.274,0.029,93.577
215.670,0.030,93.260
216.065,0.096,80.190
216.461,0.224,59.743
216.856,0.207,62.118
217.252,0.227,59.244
217.647,0.173,67.167
218.043,0.195,63.817
218.439,0.260,54.905
218.835,0.249,56.325
219.230,0.144,71.788
219.626,0.203,62.664
220.022,0.192,64.207
220.418,0.142,72.071
220.814,0.138,72.721
221.210,0.198,63.352
221.606,0.203,62.708
222.002,0.220,60.300
222.399,0.301,50.000
222.795,0.270,53.745
223.191,0.263,54.589
223.587,0.269,53.887
223.984,0.252,55.942
224.380,0.316,48.311
224.777,0.297,50.433
225.173,0.258,55.150
225.570,0.277,52.795
225.966,0.276,52.943
226.363,0.272,53.480
226.760,0.268,54.013
227.156,0.244,57.081
227.553,0.248,56.476
227.950,0.288,51.471
228.347,0.303,49.722
228.744,0.281,52.353
229.141,0.299,50.270
229.538,0.292,51.073
229.935,0.299,50.270
230.332,0.310,48.970
230.729,0.327,47.095
231.127,0.334,46.359
231.524,0.336,46.079
231.921,0.341,45.627
232.318,0.333,46.407
232.716,0.330,46.810
233.113,0.307,49.319
233.511,0.310,48.923
233.908,0.330,46.795
234.306,0.318,48.093
234.704,0.352,44.454
235.101,0.345,45.209
235.499,0.344,45.318
235.897,0.342,45.530
236.294,0.386,41.094
236.692,0.395,40.297
237.090,0.372,42.421
237.488,0.386,41.134
237.886,0.416,38.371
238.284,0.418,38.171
238.682,0.422,37.807
239.080,0.394,40.367
239.479,0.417,38.254
239.877,0.424,37.704
240.275,0.414,38.575
240.673,0.411,38.819
241.072,0.424,37.640
241.470,0.402,39.632
241.869,0.422,37.821
242.267,0.456,35.027
242.666,0.450,35.457
243.064,0.468,34.040
243.463,0.472,33.694
243.862,0.470,33.906
244.260,0.513,30.667
244.659,0.507,31.127
